volym_id,titel,stand,ar_fran,ar_till,xml_url,pdf_url,metadata_url,period,fel
rda_1521-1560___01,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. [Ser. 1], Under tidehvarfvet 1521-1718, [Afd. 1], [1521-1611], D. 1. 1, 1521-1544 / utgifven af Emil Hildebrand och Oscar Alin",adel,1521,1560,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1521-1560__/rda_1521-1560___01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1521-1560__/rda_1521-1560___01.pdf,https://weburn.kb.se/riks/metadata/63/21799163.html,1521-1560,
rda_1521-1560___02,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. [Ser. 1], Under tidehvarfvet 1521-1718, [Afd. 1], [1521-1611], D. 1. 2, 1544-1560 / genom Emil Hildebrand",adel,1521,1560,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1521-1560__/rda_1521-1560___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1521-1560__/rda_1521-1560___02.pdf,https://weburn.kb.se/riks/metadata/64/21799164.html,1521-1560,
rdbesl_1529-1698_bih_,"Alla riksdagars och mötens besluth, samt arfföreningar, regementsformer, försäkringar och bewillningar, som på allmenna riksdagar och möten, ifrån år 1521 intill år 1731 giorde, stadgade och bewiljade äro. Bihang: utaf åtskillige allmenna handlingar ifrån år 1529 intil år 1698",riksdagsbeslut,1529,1698,https://weburn.kb.se/riks/ståndsriksdagen/xml/rdbesl_1529-1698_bih_/rdbesl_1529-1698_bih_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rdbesl_1529-1698_bih_/rdbesl_1529-1698_bih_.pdf,https://weburn.kb.se/riks/metadata/78/21799178.html,1529-1698,
rda_1561-1592___01,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. (Ser.1), Under tidehvarfvet 1521-1718. [Afd. 1], [1521-1611]. D. 2. 1, 1561-1574 / utgifven av Kongl. Riksarkivet genom Emil Hildebrand",adel,1561,1592,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1561-1592__/rda_1561-1592___01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1561-1592__/rda_1561-1592___01.pdf,https://weburn.kb.se/riks/metadata/65/21799165.html,1561-1592,
rda_1561-1592___02,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. (Ser.1), Under tidehvarfvet 1521-1718. [Afd. 1], [1521-1611]. D. 2. 2, 1575-1592 / utgifven av Kongl. Riksarkivet genom Emil Hildebrand",adel,1561,1592,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1561-1592__/rda_1561-1592___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1561-1592__/rda_1561-1592___02.pdf,https://weburn.kb.se/riks/metadata/66/21799166.html,1561-1592,
rda_1592-1597_3-1_,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. [Ser. 1], Under tidehvarfvet 1521-1718, [Afd. 1], [1521-1611], D. 3. 1, 1593-1594 / utgifven af Kongl. Riksarkivet genom Emil Hildebrand",adel,1592,1597,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1592-1597_3-1_/rda_1592-1597_3-1_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1592-1597_3-1_/rda_1592-1597_3-1_.pdf,https://weburn.kb.se/riks/metadata/67/21799167.html,1592-1597,
rda_1592-1597_3-2_,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. [Ser. 1], Under tidehvarfvet 1521-1718, [Afd. 1], [1521-1611], D. 3. 2, 1595-1597 / utgifven af Riksarkivet genom Emil Hildebrand",adel,1592,1597,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1592-1597_3-2_/rda_1592-1597_3-2_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1592-1597_3-2_/rda_1592-1597_3-2_.pdf,https://weburn.kb.se/riks/metadata/68/21799168.html,1592-1597,
rda_1611-1616__,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. Ser. 1, Tidevarvet 1521-1718, Avd. 2, Tiden från 1611, D. 1. 2, 1613-1616 / utgiven av Riksarkivet genom Nils Ahnlund",adel,1597,1598,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1611-1616__/rda_1611-1616__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1597-1598__/rda_1597-1598___01.pdf,https://weburn.kb.se/riks/metadata/71/21799171.html,1597-1598,
rda_1597-1598___02,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. [Ser. 1], Tidehvarfvet 1521-1718, [Afd. 1], [1521-1611], D. 4, [1597-1598], 1-3, / utgifven af Riksarkivet genom Torvald Höjer och Lars Sjödin",adel,1597,1598,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1597-1598__/rda_1597-1598___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1597-1598__/rda_1597-1598___01.pdf,https://weburn.kb.se/riks/metadata/69/21799169.html,1597-1598,
bn_1600-1697_reg_,Förteckning över bondeståndets ledamöter vid riksdagarna 1600-1697 / av Ludvig Mårtensson,bonder,1600,1697,https://weburn.kb.se/riks/ståndsriksdagen/xml/bn_1600-1697_reg_/bn_1600-1697_reg_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bn_1600-1697_reg_/bn_1600-1697_reg_.pdf,https://weburn.kb.se/riks/metadata/06/21798706.html,1600-1697,
rda_1617_2_,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. Ser. 1, Tidevarvet 1521-1718, Avd. 2, Tiden från 1611, D. 1-2. 1617 / utgiven av Riksarkivet genom Nils Ahnlund",adel,1617,1617,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1617_2_/rda_1617_2_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1617_1_/rda_1617_1_.pdf,https://weburn.kb.se/riks/metadata/73/21799173.html,1617,
roa_1627-1714_reg_,"Register till Sveriges ridderskaps och adels riksdags-protokoll. delarna 1-17, 1627-1714, 1, Personregister",adel,1627,1714,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1627-1714_reg_/roa_1627-1714_reg_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1627-1714_reg_/roa_1627-1714_reg_.pdf,https://weburn.kb.se/riks/metadata/03/21799203.html,1627-1714,
roa_1627-1632__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 1, 1627-1632",adel,1627,1632,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1627-1632__/roa_1627-1632__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1627-1632__/roa_1627-1632__.pdf,https://weburn.kb.se/riks/metadata/01/21799201.html,1627-1632,
roa_1627-1632_2uppl_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 1, 1627-1632",adel,1627,1632,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1627-1632_2uppl_/roa_1627-1632_2uppl_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1627-1632_2uppl_/roa_1627-1632_2uppl_.pdf,https://weburn.kb.se/riks/metadata/02/21799202.html,1627-1632,
roa_1633-1638_1uppl_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 2, 1633-1636",adel,1633,1638,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1633-1638_1uppl_/roa_1633-1638_1uppl_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1633-1638_1uppl_/roa_1633-1638_1uppl_.pdf,https://weburn.kb.se/riks/metadata/04/21799204.html,1633-1638,
roa_1633-1638_2uppl_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 2, 1633-1638",adel,1633,1638,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1633-1638_2uppl_/roa_1633-1638_2uppl_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1633-1638_2uppl_/roa_1633-1638_2uppl_.pdf,https://weburn.kb.se/riks/metadata/05/21799205.html,1633-1638,
roa_1636-1644__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 3, 1636-1644",adel,1636,1644,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1636-1644__/roa_1636-1644__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1636-1644__/roa_1636-1644__.pdf,https://weburn.kb.se/riks/metadata/06/21799206.html,1636-1644,
roa_1645-1651__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 4. H. 2, 1650-1651",adel,1636,1644,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1645-1651__/roa_1645-1651__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1636-1644__/roa_1636-1644__.pdf,https://weburn.kb.se/riks/metadata/07/21799207.html,1636-1644,
roa_1640-1644_2uppl_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 3, 1640-1644",adel,1640,1644,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1640-1644_2uppl_/roa_1640-1644_2uppl_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1640-1644_2uppl_/roa_1640-1644_2uppl_.pdf,https://weburn.kb.se/riks/metadata/08/21799208.html,1640-1644,
pr_1642-1660___02,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 1, 1642-1660 / utgivna av Arne Forssell och Erik Granstedt",praster,1642,1660,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1642-1660__/pr_1642-1660___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1642-1660__/pr_1642-1660___01.pdf,https://weburn.kb.se/riks/metadata/12/21798912.html,1642-1660,
roa_1645-1651__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 4. H. 1, 1645-1649",adel,1645,1651,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1645-1651__/roa_1645-1651__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1645-1651__/roa_1645-1651__.pdf,https://weburn.kb.se/riks/metadata/10/21799210.html,1645-1651,
roa_1652-1655___01,"Sveriges ridderskaps och adels riksdags-protokoll. D. 5. H. 1, 1652-1654",adel,1652,1655,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1652-1655__/roa_1652-1655___01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1652-1655__/roa_1652-1655___01.pdf,https://weburn.kb.se/riks/metadata/45/22060145.html,1652-1655,
roa_1652-1655___01,"Sveriges ridderskaps och adels riksdags-protokoll. D. 5. H. 2, 1655",adel,1652,1655,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1652-1655__/roa_1652-1655___01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1652-1655__/roa_1652-1655___02.pdf,https://weburn.kb.se/riks/metadata/09/21799209.html,1652-1655,
bg_1654-1714__,Borgarståndets riksdagsprotokoll före frihetstiden / utg. av Stadshistoriska institutet,borgare,1654,1714,https://weburn.kb.se/riks/ståndsriksdagen/xml/bg_1654-1714__/bg_1654-1714__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bg_1654-1714__/bg_1654-1714__.pdf,https://weburn.kb.se/riks/metadata/08/21797608.html,1654-1714,
roa_1656-1658__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 6, 1656-1658",adel,1656,1658,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1656-1658__/roa_1656-1658__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1656-1658__/roa_1656-1658__.pdf,https://weburn.kb.se/riks/metadata/12/21799212.html,1656-1658,
pr_1660-1664___03,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 2, 1660-1664 / utgivna av Jan Liedgren",praster,1660,1664,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1660-1664__/pr_1660-1664___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1660-1664__/pr_1660-1664___01.pdf,https://weburn.kb.se/riks/metadata/13/21798913.html,1660-1664,
roa_1660_1_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 7, 1660, Förra riksdagen",adel,1660,1660,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1660_1_/roa_1660_1_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1660_1_/roa_1660_1_.pdf,https://weburn.kb.se/riks/metadata/13/21799213.html,1660,
roa_1660_2_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 8, 1660, Senare riksdagen",adel,1660,1660,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1660_2_/roa_1660_2_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1660_2_/roa_1660_2_.pdf,https://weburn.kb.se/riks/metadata/14/21799214.html,1660,
